accuracy,loss,val_accuracy,val_loss
0.9109694361686707,0.21427249908447266,0.9396666884422302,0.15512649714946747
0.9493601322174072,0.13588669896125793,0.95291668176651,0.12654328346252441
0.9618722200393677,0.10822353512048721,0.965749979019165,0.09800868481397629
0.9674160480499268,0.09447787702083588,0.968833327293396,0.08914696425199509
0.9698922038078308,0.08872094750404358,0.9704999923706055,0.0872282013297081
0.9718643426895142,0.0850982740521431,0.9726666808128357,0.08238106966018677
0.9727846384048462,0.08277726918458939,0.9739166498184204,0.08305781334638596
0.973595380783081,0.07928898930549622,0.9758333563804626,0.07689260691404343
0.9747348427772522,0.07821499556303024,0.9742500185966492,0.07960468530654907
0.9749758839607239,0.07586080580949783,0.9725833535194397,0.08548575639724731
0.9761810898780823,0.07449895143508911,0.971916675567627,0.08300722390413284
